"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00437646","SOUTH NEWBURY, VT US","44.0503","-72.0753","143.3","1995",,,,,,,"143","0","74","0","100",,"34","0",,,,,,,,,,,,,"18",",0,1221,","10.0",",0,0205,","2.36",",0,1022,",,,,,,,,,,,,,,,,,,,,,,,,,,,"34.73",",0",,,"74.7",",0",,,,,,,,,,,,,,,,
"USC00438815","WATERBURY 2 SSE, VT US","44.31667","-72.75","231.6","1990",,,"274",,"274","0","169","0","112","0","123",,"31","0","11","0","157","0","46","0","116","0","0","0","-7","0,0226,+","17",",0,1114,+","11.4",",0,0320,","2.43",",0,1110,","89","0,0428,","30","0,1017","28","0,1020","21","0,1027","19","0,1112","12","0,1206","30","0,0508","28","0,0503","21","0,0419","11","0,0329","11","0,0329","8160",,"8160","0","52.99",",0",,,"138.5",",0","45.2","0","55.2","0","35.1","0",,,,,,,,,,
"USC00438815","WATERBURY 2 SSE, VT US","44.31667","-72.75","231.6","1991",,,"244",,"244","0","149","0","83","0","118",,"24","0","24","0","161","0","60","0","122","0","4","0","-14","0,0122,","15",",0,0214,+","7.6",",0,0112,","1.72",",0,0919,","92","0,0720,+","31","0,0922","27","0,0930","24","0,1021","20","0,1105","11","0,1109","32","0,0520","28","0,0519","23","0,0414","14","0,0331","14","0,0331","7530",,"7530","0","38.18",",0",,,"81.4",",0","44.4","0","55.0","0","33.8","0",,,,,,,,,,
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","1990",,,"373",,"373","0","131","0","84","0","65",,"12","0","9","0","141","0","31","0","113","0","4","0","-9","0,0218,","11",",0,0130,","7.1",",0,0215,+","1.25",",0,0723,","93","0,0803,","31","0,0909","28","0,1020","24","0,1109","18","0,1113","14","0,1211","30","0,0422","27","0,0418","24","0,0412","15","0,0329","15","0,0329","7457",,"7457","0","37.18",",0",,,"50.7",",0","46.8","0","56.6","0","36.9","0",,,,,,,,,,
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","1991",,,"584",,"584","0","119","0","66","0","66",,"10","0","12","0","139","0","47","0","124","0","13","0","-9","0,0125,","11",",0,0113,+","7.1",",0,0112,","1.85",",0,0919,","95","0,0719,","32","0,0930","28","0,1029","20","0,1108","20","0,1108","16","0,1203","27","0,0414","27","0,0414","24","0,0412","20","0,0403","16","0,0331","6840",,"6840","0","30.96",",0",,,"34.7",",0","47.4","0","56.9","0","37.8","0",,,,,,,,,,
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","1992",,,"355",,"355","0","120","0","63","0","78",,"10","0","24","0","143","0","56","0","113","0","2","0","-13","0,0212,+","12",",0,0215,","7.1",",0,0215,","1.32",",0,1024,","90","0,0522,+","31","0,1031","25","0,1101","22","0,1102","19","0,1110","16","0,1205","32","0,0506","21","0,0416","21","0,0416","20","0,0414","16","0,0325","7666",,"7666","0","28.99",",0",,,"30.4",",0","44.7","0","53.7","0","35.6","0",,,,,,,,,,
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","1993",,,"530",,"530","0","127","0","76","0","104",,"17","0","31","0","152","0","66","0","107","0","10","0","-27","0,0207,","21",",0,0222,","9.8",",0,0113,","1.54",",0,0729,","93","0,0826,+","32","0,1001","26","0,1011","23","0,1107","15","0,1124","15","0,1124","28","0,0428","28","0,0428","22","0,0406","13","0,0323","13","0,0323","7777",,"7777","0","32.52",",0",,,"70.7",",0","44.6","0","53.9","0","35.3","0",,,,,,,,,,
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","1994",,,"463",,"463","0","107","0","71","0","99",,"15","0","34","0","134","0","64","0","111","0","5","0","-31","0,0127,","14",",0,0109,+","8.9",",0,0224,","1.52",",0,0627,","96","0,0617,","31","0,1015","26","0,1117","19","0,1123","19","0,1123","16","0,1127","32","0,0428","28","0,0423","17","0,0408","17","0,0408","11","0,0317","8086",,"8086","0","30.06",",0",,,"62.3",",0","44.7","0","53.5","0","35.9","0",,,,,,,,,,
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","1995",,,"623",,"623","0","116","0","68","0","87",,"17","0","12","0","147","0","72","0","117","0","9","0","-16","0,0206,","14",",0,1231,+","13.0",",0,0204,","2.94",",0,0804,","98","0,0714,","31","0,1030","28","0,1105","17","0,1109","17","0,1109","14","0,1125","31","0,0507","23","0,0411","23","0,0411","14","0,0406","14","0,0406","6942",,"6942","0","34.87",",0",,,"55.3",",0","46.1","0","54.9","0","37.4","0",,,,,,,,,,
"USC00276234","NORTH STRATFORD, NH US","44.68199","-71.58575","289.6","1991",,,,,,,,,,,,,"26","0",,,,,,,,,,,,,,,"6.0",",0,0131,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57.4",",0",,,,,,,,,,,,,,,,
"USC00276234","NORTH STRATFORD, NH US","44.68199","-71.58575","289.6","1992",,,"105",,"105","0","180","0","71","0","123",,"21","0","59","0","203","0","82","0","98","0","0","0","-26","0,0214,+","22",",0,0303,+","8.0",",0,0329,","1.48",",0,1010,","88","0,0523,","27","0,0924","27","0,0924","24","0,1002","20","0,1018","12","0,1102","32","0,0616","27","0,0525","22","0,0507","15","0,0417","15","0,0417",,,,,"32.38",",0",,,"60.9",",0","38.6","0","50.6","0","26.7","0",,,,,,,,,,
"USC00276234","NORTH STRATFORD, NH US","44.68199","-71.58575","289.6","1993",,,,,,,"192","0","94","0","113",,"32","0",,,,,"75","0","105","0","2","0",,,"43",",0,0315,+","20.0",",0,0314,","1.10",",0,0314,","91","0,0707,",,,,,,,,,,,,,,,,,,,,,"9455",,"9455","0","35.80",",0",,,"107.1",",0",,,"52.1","0",,,,,,,,,,,,
"USC00276234","NORTH STRATFORD, NH US","44.68199","-71.58575","289.6","1995",,,"249",,"249","0","174","0","81","0","114",,"36","0","42","0","195","0","79","0","99","0","8","0","-26","0,0111,","31",",0,1231,","8.0",",0,0205,","2.42",",0,0806,","95","0,0621,+","29","0,0911","27","0,0929","24","0,1105","4","0,1110","4","0,1110","32","0,0517","28","0,0509","20","0,0425","20","0,0425","15","0,0411",,,,,"36.47",",0",,,"89.1",",0","40.5","0","52.6","0","28.3","0",,,,,,,,,,
"USC00439190","WEST DOVER, VT US","42.93333","-72.85","527.3","1990",,,,,,,"147","0","99","0","98",,"26","0",,,,,,,,,,,,,"22",",0,0205,","12.0",",0,0130,","4.42",",0,0807,",,,,,,,,,,,,,,,,,,,,,,,,,,,"62.94",",0",,,"78.9",",0",,,,,,,,,,,,,,,,
"USC00439190","WEST DOVER, VT US","42.93333","-72.85","527.3","1991",,,,,,,"145","0","90","0","104",,"27","0",,,,,,,,,,,,,"11",",0,0128,+","8.0",",0,1218,+","2.36",",0,0422,",,,,,,,,,,,,,,,,,,,,,,,,,,,"52.42",",0",,,"73.0",",0",,,,,,,,,,,,,,,,
"USC00439190","WEST DOVER, VT US","42.93333","-72.85","527.3","1992",,,,,,,"137","0","91","0","90",,"28","0",,,,,,,,,,,,,"14",",0,1213,","7.0",",0,1212,","2.03",",0,0923,",,,,,,,,,,,,,,,,,,,,,,,,,,,"44.73",",0",,,"64.3",",0",,,,,,,,,,,,,,,,
"USC00439190","WEST DOVER, VT US","42.93333","-72.85","527.3","1994",,,,,,,,,,,"125",,"39","0",,,,,,,,,,,,,"42",",0,0304,","13.0",",0,0118,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"132.4",",0",,,,,,,,,,,,,,,,
"USC00439190","WEST DOVER, VT US","42.93333","-72.85","527.3","1995",,,,,,,"132","0","83","0",,,"29","0",,,,,,,,,,,,,,,"15.0",",0,0205,","2.81",",0,1022,",,,,,,,,,,,,,,,,,,,,,,,,,,,"47.08",",0",,,"96.0",",0",,,,,,,,,,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","44.4683","-73.1499","100.6","1990","10.1","X","472",,"472","0","168","0","87","0","61",,"17","0","3","0","145","0","36","0","122","0","4","0","-6","0,0218,","9",",0,0216,+","10.2",",0,0215,","2.46",",0,1110,","91","0,0718,","31","0,1020","23","0,1027","23","0,1027","20","0,1113","14","0,1211","32","0,0512","27","0,0419","23","0,0418","14","0,0329","14","0,0329","7559",,"7559","0","42.21",",0",,,"68.2",",0","47.5","0","56.9","0","38.2","0","137529",",X","170","X","180","X","38.9","X","54.1","X"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","44.4683","-73.1499","100.6","1991","10.1","X","517",,"517","0","149","0","77","0","68",,"14","0","12","0","141","0","48","0","133","0","10","0","-9","0,0125,+","11",",0,0114,+","5.5",",0,0112,","1.62",",0,1006,","96","0,0720,","29","0,0930","27","0,1014","24","0,1029","19","0,1108","16","0,1109","32","0,0419","26","0,0414","16","0,0331","16","0,0331","16","0,0331","6781",,"6781","0","32.54",",0",,,"42.3",",0","47.0","0","56.9","0","37.1","0","148545",",X","90","X","180","X","33.1","X","59.7","X"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","44.4683","-73.1499","100.6","1992","9.8","X","349",,"349","0","161","0","64","0","88",,"23","0","22","0","158","0","51","0","110","0","5","0","-17","0,0210,","10",",0,0217,+","5.1",",0,0208,","2.36",",0,0922,","91","0,0523,","31","0,0924","28","0,1006","22","0,1101","20","0,1102","16","0,1110","30","0,0525","26","0,0427","22","0,0416","20","0,0415","15","0,0325","7841",,"7841","0","30.91",",0",,,"67.9",",0","44.3","0","53.9","0","34.6","0","139440",",X","160","X","180","X","34.9","X","49.4","X"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","44.4683","-73.1499","100.6","1993","8.9","X","529",,"529","0","155","0","78","0","100",,"31","0","33","0","153","0","66","0","110","0","7","0","-27","0,0207,","31",",0,0314,","15.5",",0,0313,","1.42",",0,0824,","94","0,0707,+","31","0,0920","28","0,1001","24","0,1011","20","0,1113","11","0,1124","32","0,0514","28","0,0428","22","0,0405","13","0,0323","13","0,0323","7861",,"7861","0","32.93",",0",,,"129.8",",0","44.6","0","54.4","0","34.8","0","136214",",X","290","X","270","X","34.9","X","50.6","X"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","44.4683","-73.1499","100.6","1994","9.6","X","582",,"582","0","153","0","82","0","104",,"22","0","35","0","148","0","60","0","116","0","8","0","-29","0,0127,","23",",0,0304,","15.7",",0,0303,","1.38",",0,0821,","97","0,0618,","30","0,1011","28","0,1012","24","0,1112","20","0,1123","9","0,1126","29","0,0503","24","0,0423","24","0,0423","12","0,0408","12","0,0408","8184",,"8184","0","34.90",",0",,,"98.6",",0","45.0","0","54.8","0","35.2","0","144753",",X","300","X","180","X","36.9","X","44.7","X"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","44.4683","-73.1499","100.6","1995","9.6","X","669",,"669","0","154","0","75","0","96",,"30","0","15","0","147","0","69","0","122","0","18","0","-13","0,0206,","19",",0,1222,+","16.8",",0,0204,","1.74",",0,0804,","100","0,0714,+","31","0,0929","16","0,1109","16","0,1109","16","0,1109","16","0,1109","31","0,0507","28","0,0425","22","0,0411","19","0,0408","15","0,0406","6975",,"6975","0","32.23",",0",,,"102.7",",0","46.8","0","56.4","0","37.2","0","143282",",X","180","X","180","X","34.9","X","54.1","X"
"USW00094705","BARRE MONTPELIER KNAPP STATE AIRPORT, VT US","44.2035","-72.5623","343.2","1990",,,"308",,"308","0","161","0","82","0","104",,"24","0","11","0","160","0","47","0","114","0","1","0","-9","0,0226,+","17",",0,0321,","14.9",",0,0320,","2.34",",0,0623,","90","0,0428,","31","0,1017","27","0,1020","24","0,1027","20","0,1109","16","0,1112","28","0,0523","28","0,0523","23","0,0418","19","0,0330","10","0,0329","8357",,"8357","0","47.39",",0",,,"119.1",",0","45.1","0","55.2","0","35.1","0",,,,,,,,,,
"USW00094705","BARRE MONTPELIER KNAPP STATE AIRPORT, VT US","44.2035","-72.5623","343.2","1991",,,"267",,"267","0","147","0","80","0","89",,"20","0","25","0","163","0","62","0","125","0","3","0","-14","0,0123,","12",",0,0202,+","6.1",",0,0112,","1.70",",0,1006,","92","0,0720,+","30","0,0922","26","0,0930","24","0,1021","20","0,1106","13","0,1109","29","0,0519","23","0,0414","23","0,0414","15","0,0331","15","0,0331","7487",,"7487","0","33.54",",0",,,"60.6",",0","44.4","0","54.8","0","34.1","0",,,,,,,,,,
"USW00094705","BARRE MONTPELIER KNAPP STATE AIRPORT, VT US","44.2035","-72.5623","343.2","1992",,,"153",,"153","0","148","0","73","0","110",,"13","0","23","0","177","0","71","0","94","0","0","0","-14","0,0213,","11",",0,0216,","5.0",",0,0215,","1.44",",0,0731,","87","0,0827,+","32","0,0923","27","0,0924","22","0,1101","18","0,1102","16","0,1107","29","0,0525","27","0,0507","18","0,0416","18","0,0416","11","0,0414","8501",,"8501","0","31.70",",0",,,"52.1",",0","41.6","0","51.4","0","31.9","0",,,,,,,,,,
"USW00094705","BARRE MONTPELIER KNAPP STATE AIRPORT, VT US","44.2035","-72.5623","343.2","1993",,,"286",,"286","0","168","0","84","0","122",,"35","0","33","0","172","0","68","0","99","0","3","0","-28","0,0207,","37",",0,0314,","17.8",",0,0313,","1.99",",0,0124,","92","0,0708,","30","0,0920","24","0,1001","24","0,1001","20","0,1014","10","0,1124","28","0,0514","28","0,0514","23","0,0406","20","0,0405","11","0,0323","8297",,"8297","0","33.98",",0",,,"133.8",",0","42.4","0","52.8","0","32.1","0",,,,,,,,,,
"USW00094705","BARRE MONTPELIER KNAPP STATE AIRPORT, VT US","44.2035","-72.5623","343.2","1994",,,"355",,"355","0","156","0","76","0","128",,"34","0","37","0","160","0","71","0","103","0","9","0","-30","0,0127,","23",",0,0110,","12.2",",0,0303,","1.36",",0,0818,","94","0,0617,+","28","0,1011","28","0,1011","24","0,1116","18","0,1117","15","0,1123","32","0,0504","24","0,0423","24","0,0423","14","0,0402","14","0,0402","8791",,"8791","0","31.17",",0",,,"111.8",",0","42.8","0","52.9","0","32.8","0",,,,,,,,,,
"USW00094705","BARRE MONTPELIER KNAPP STATE AIRPORT, VT US","44.2035","-72.5623","343.2","1995",,,"300",,"300","0","163","0","83","0","105",,"36","0","21","0","159","0","75","0","106","0","6","0","-17","0,0206,","19",",0,1227,","10.1",",0,0204,","2.12",",0,1021,","95","0,0619,","32","0,0916","28","0,1030","11","0,1109","11","0,1109","11","0,1109","30","0,0507","27","0,0425","21","0,0417","19","0,0411","16","0,0408","7649",,"7649","0","38.01",",0",,,"107.0",",0","42.9","0","52.6","0","33.1","0",,,,,,,,,,
"USC00432769","ENOSBURG FALLS, VT US","44.9094","-72.8082","128.0","1990",,,"373",,"373","0","137","0","101","0",,,"22","0","15","0","157","0","36","0","127","0","0","0","-14","0,0205,",,,"8.0",",0,1224,","1.57",",0,0705,","89","0,0730,+","32","0,1003","27","0,1020","18","0,1027","18","0,1027","14","0,1113","32","0,0524","28","0,0504","18","0,0413","18","0,0413","10","0,0329","7931",,"7931","0","45.31",",0",,,"70.1",",0","46.7","0","57.9","0","35.5","0",,,,,,,,,,
"USC00432769","ENOSBURG FALLS, VT US","44.9094","-72.8082","128.0","1991",,,"401",,"401","0","132","0","89","0",,,"28","0","25","0","166","0","50","0","141","0","8","0","-23","0,0122,",,,"8.0",",0,0131,+","2.15",",0,0919,","93","0,0719,","30","0,0922","25","0,0930","22","0,1029","19","0,1030","10","0,1109","32","0,0520","27","0,0519","21","0,0414","13","0,0331","13","0,0331","7133",,"7133","0","36.86",",0",,,"67.0",",0","45.6","0","57.6","0","33.6","0",,,,,,,,,,
"USC00432769","ENOSBURG FALLS, VT US","44.9094","-72.8082","128.0","1992",,,"219",,"219","0","134","0","89","0",,,"28","0","45","0","178","0","53","0","125","0","0","0","-25","0,0210,",,,"5.0",",0,0411,+","1.95",",0,1010,","89","0,0826,","28","0,0924","28","0,0924","24","0,1031","15","0,1102","15","0,1102","30","0,0526","28","0,0525","23","0,0427","17","0,0416","15","0,0415","8278",,"8278","0","36.13",",0",,,"69.5",",0","42.6","0","54.5","0","30.8","0",,,,,,,,,,
"USC00432769","ENOSBURG FALLS, VT US","44.9094","-72.8082","128.0","1993",,,"346",,"346","0","157","0","114","0","112",,"39","0","39","0","170","0","67","0","116","0","2","0","-38","0,0207,","30",",0,0314,","24.0",",0,0314,","1.70",",0,0730,","91","0,0706,","28","0,0920","28","0,0920","24","0,1001","18","0,1011","4","0,1125","32","0,0523","25","0,0514","23","0,0428","19","0,0406","16","0,0405","8282",,"8282","0","42.56",",0",,,"113.9",",0","43.0","0","54.5","0","31.5","0",,,,,,,,,,
"USC00432769","ENOSBURG FALLS, VT US","44.9094","-72.8082","128.0","1994",,,"424",,"424","0","132","0","90","0","111",,"25","0","45","0","164","0","66","0","122","0","5","0","-38","0,0127,","25",",0,0304,","11.0",",0,0224,","1.48",",0,0722,","93","0,0721,+","31","0,1001","25","0,1012","22","0,1015","20","0,1016","15","0,1124","27","0,0514","27","0,0514","22","0,0423","3","0,0408","3","0,0408","8578",,"8578","0","37.59",",0",,,"107.8",",0","43.5","0","55.0","0","31.9","0",,,,,,,,,,
"USC00432769","ENOSBURG FALLS, VT US","44.9094","-72.8082","128.0","1995",,,"430",,"430","0","140","0","88","0","101",,"42","0","31","0","155","0","72","0","124","0","7","0","-22","0,0111,","25",",0,1227,+","20.0",",0,0205,","2.00",",0,0717,","94","0,0714,","30","0,0911","27","0,0929","17","0,1109","17","0,1109","5","0,1110","29","0,0509","24","0,0507","24","0,0507","17","0,0411","16","0,0410","7316",,"7316","0","42.36",",0",,,"125.0",",0","44.7","0","56.1","0","33.3","0",,,,,,,,,,
"USC00434747","LUDLOW, VT US","43.394","-72.7104","385.6","1990",,,,,,,"156","0","97","0","112",,"23","0",,,,,,,,,,,,,"26",",0,0205,","18.0",",0,0130,","3.88",",0,0807,",,,,,,,,,,,,,,,,,,,,,,,,,,,"55.59",",0",,,"92.1",",0",,,,,,,,,,,,,,,,
"USC00434747","LUDLOW, VT US","43.394","-72.7104","385.6","1991",,,,,,,"153","0","91","0","93",,"23","0",,,,,,,,,,,,,"11",",0,0131,+","8.5",",0,0112,","2.40",",0,0616,",,,,,,,,,,,,,,,,,,,,,,,,,,,"45.04",",0",,,"65.6",",0",,,,,,,,,,,,,,,,
"USC00434747","LUDLOW, VT US","43.394","-72.7104","385.6","1992",,,,,,,"153","0","85","0","126",,"17","0",,,,,,,,,,,,,"7",",0,0217,+","6.0",",0,0417,","2.74",",0,0805,",,,,,,,,,,,,,,,,,,,,,,,,,,,"43.73",",0",,,"44.3",",0",,,,,,,,,,,,,,,,
"USC00434747","LUDLOW, VT US","43.394","-72.7104","385.6","1993",,,,,,,"175","0","98","0","122",,"30","0",,,,,,,,,,,,,"38",",0,0314,","16.0",",0,0314,","2.09",",0,1222,",,,,,,,,,,,,,,,,,,,,,,,,,,,"45.23",",0",,,"131.0",",0",,,,,,,,,,,,,,,,
"USC00434747","LUDLOW, VT US","43.394","-72.7104","385.6","1994",,,,,,,"160","0","96","0","133",,"25","0",,,,,,,,,,,,,"33",",0,0212,+","7.3",",0,0304,","1.90",",0,0928,",,,,,,,,,,,,,,,,,,,,,,,,,,,"48.27",",0",,,"85.5",",0",,,,,,,,,,,,,,,,
"USC00439591","WEST WARDSBORO, VT US","43.03306","-72.85","429.8","1990",,,,,,,,,,,,,"27","0",,,,,,,,,,,,,,,"18.0",",0,0130,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"114.3",",0",,,,,,,,,,,,,,,,
"USC00439591","WEST WARDSBORO, VT US","43.03306","-72.85","429.8","1993",,,,,,,"167","0","104","0","122",,"38","0",,,,,,,,,,,,,"41",",0,0315,+","30.0",",0,0314,","4.00",",0,0314,",,,,,,,,,,,,,,,,,,,,,,,,,,,"55.77",",0",,,"174.3",",0",,,,,,,,,,,,,,,,
"USC00439591","WEST WARDSBORO, VT US","43.03306","-72.85","429.8","1994",,,,,,,"179","0","88","0","131",,"37","0",,,,,,,,,,,,,"38",",0,0322,","9.5",",0,0304,+","1.90",",0,0928,",,,,,,,,,,,,,,,,,,,,,,,,,,,"49.25",",0",,,"133.3",",0",,,,,,,,,,,,,,,,
"USC00439591","WEST WARDSBORO, VT US","43.03306","-72.85","429.8","1995",,,,,,,"172","0","90","0",,,"27","0",,,,,,,,,,,,,,,"17.0",",0,0205,","3.44",",0,1022,",,,,,,,,,,,,,,,,,,,,,,,,,,,"50.04",",0",,,"112.1",",0",,,,,,,,,,,,,,,,
"USC00431433","CHITTENDEN, VT US","43.7063","-72.9618","354.5","1990",,,,,,,"138","0","105","0","82",,"20","0",,,,,,,,,,,,,"17",",0,0206,+","9.5",",0,0130,","3.36",",0,1024,",,,,,,,,,,,,,,,,,,,,,,,,,,,"55.04",",0",,,"69.5",",0",,,,,,,,,,,,,,,,
"USC00431433","CHITTENDEN, VT US","43.7063","-72.9618","354.5","1991",,,,,,,"118","0","84","0","89",,"17","0",,,,,,,,,,,,,"8",",0,0131,+","6.0",",0,0112,","1.43",",0,0805,+",,,,,,,,,,,,,,,,,,,,,,,,,,,"39.98",",0",,,"44.7",",0",,,,,,,,,,,,,,,,
"USC00431433","CHITTENDEN, VT US","43.7063","-72.9618","354.5","1993",,,,,,,"144","0","103","0","113",,"30","0",,,,,,,,,,,,,"33",",0,0325,+","18.0",",0,0314,","1.29",",0,0314,",,,,,,,,,,,,,,,,,,,,,,,,,,,"37.84",",0",,,"98.6",",0",,,,,,,,,,,,,,,,
"USC00431433","CHITTENDEN, VT US","43.7063","-72.9618","354.5","1994",,,,,,,"122","0","103","0","112",,"27","0",,,,,,,,,,,,,"38",",0,0118,","20.0",",0,0118,","2.10",",0,0822,",,,,,,,,,,,,,,,,,,,,,,,,,,,"50.20",",0",,,"92.0",",0",,,,,,,,,,,,,,,,
"USC00431433","CHITTENDEN, VT US","43.7063","-72.9618","354.5","1995",,,,,,,"124","0","86","0","98",,"29","0",,,,,,,,,,,,,"17",",0,1222,","13.0",",0,0205,","2.74",",0,0804,",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.05",",0",,,"80.5",",0",,,,,,,,,,,,,,,,
"USC00432843","ESSEX JUNCTION 1 N, VT US","44.5079","-73.1152","103.6","1990",,,"400",,"400","0","162","0","89","0","68",,"20","0","15","0","150","0","41","0","118","0","0","0","-14","0,0218,","8",",0,0321,","8.5",",0,0321,","2.40",",0,1111,","89","0,0731,+","28","0,1020","28","0,1020","21","0,1027","20","0,1113","14","0,1206","32","0,0524","24","0,0419","24","0,0419","17","0,0330","9","0,0329","8197",,"8197","0","46.68",",0",,,"64.1",",0","46.1","0","56.0","0","36.1","0",,,,,,,,,,
"USC00432843","ESSEX JUNCTION 1 N, VT US","44.5079","-73.1152","103.6","1991",,,"458",,"458","0","150","0","87","0","70",,"15","0","26","0","158","0","55","0","131","0","7","0","-18","0,0126,+","13",",0,0131,+","10.0",",0,0112,","1.81",",0,1006,","96","0,0721,","32","0,0922","28","0,0930","24","0,1029","10","0,1109","10","0,1109","31","0,0519","26","0,0414","22","0,0401","13","0,0331","13","0,0331","7186",,"7186","0","38.68",",0",,,"44.1",",0","45.4","0","55.9","0","34.9","0",,,,,,,,,,
"USC00432843","ESSEX JUNCTION 1 N, VT US","44.5079","-73.1152","103.6","1992",,,"304",,"304","0","174","0","86","0","94",,"26","0","40","0","171","0","55","0","110","0","2","0","-23","0,0210,","13",",0,0209,","9.5",",0,0205,","2.00",",0,0923,","90","0,0524,+","28","0,0924","28","0,0924","19","0,1102","19","0,1102","16","0,1110","27","0,0525","27","0,0525","22","0,0416","16","0,0415","16","0,0415","8333",,"8333","0","39.21",",0",,,"75.5",",0","42.7","0","53.1","0","32.4","0",,,,,,,,,,
"USC00432843","ESSEX JUNCTION 1 N, VT US","44.5079","-73.1152","103.6","1993",,,"468",,"468","0","169","0","89","0","113",,"30","0","41","0","162","0","69","0","111","0","6","0","-35","0,0207,","27",",0,0315,+","17.0",",0,0314,","1.41",",0,0825,","92","0,0711,+","31","0,0920","28","0,1001","24","0,1011","18","0,1102","2","0,1125","31","0,0514","28","0,0428","23","0,0424","18","0,0405","13","0,0324","8392",,"8392","0","37.90",",0",,,"124.2",",0","43.2","0","53.7","0","32.8","0",,,,,,,,,,
"USC00432843","ESSEX JUNCTION 1 N, VT US","44.5079","-73.1152","103.6","1994",,,"442",,"442","0","165","0","86","0","110",,"28","0","42","0","162","0","65","0","113","0","4","0","-31","0,0127,","24",",0,0304,","17.0",",0,0304,","1.44",",0,0304,","95","0,0619,","32","0,1001","28","0,1012","23","0,1016","15","0,1124","15","0,1124","32","0,0528","27","0,0514","22","0,0423","5","0,0408","5","0,0408","8549",,"8549","0","39.63",",0",,,"99.7",",0","43.4","0","53.7","0","33.0","0",,,,,,,,,,
"USC00432843","ESSEX JUNCTION 1 N, VT US","44.5079","-73.1152","103.6","1995",,,"504",,"504","0","161","0","83","0","100",,"30","0","26","0","156","0","68","0","118","0","9","0","-17","0,0111,","20",",0,1227,+","16.0",",0,0205,","2.25",",0,0805,","100","0,0715,","32","0,0919","25","0,1105","19","0,1109","19","0,1109","13","0,1110","29","0,0508","26","0,0507","24","0,0425","18","0,0408","2","0,0406","7469",,"7469","0","38.12",",0",,,"118.0",",0","44.8","0","55.5","0","34.1","0",,,,,,,,,,
"USC00430940","BROOKFIELD 2 SW, VT US","44.0242","-72.6411","396.2","1990",,,,,,,,,,,,,"28","0",,,,,,,,,,,,,,,"17.0",",0,0130,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"122.0",",0",,,,,,,,,,,,,,,,
"USC00430940","BROOKFIELD 2 SW, VT US","44.0242","-72.6411","396.2","1991",,,,,,,"86","0","62","0","104",,"27","0",,,,,,,,,,,,,"16",",0,0204,+","11.0",",0,0112,","2.83",",0,0820,",,,,,,,,,,,,,,,,,,,,,,,,,,,"38.98",",0",,,"86.0",",0",,,,,,,,,,,,,,,,
